baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene	sample
9344.46075197839	-0.09351964828118689	0.5766227888610601	-0.16218514094093647	0.8711600606925423	0.9999572936657434	A1BG	C516R_G1_G32
11.495136543264405	1.5649584981595226	1.3860074623757204	1.129112606274909	0.2588503340428564	0.9999572936657434	A2M	C516R_G1_G32
1425.7426252503512	-0.18409427852214155	0.3622914301844504	-0.5081386507774008	0.6113561112197723	0.9999572936657434	A4GALT	C516R_G1_G32
5651.744490241419	0.069932114687087	0.30035274104050247	0.23283328277552387	0.8158908671564475	0.9999572936657434	AAAS	C516R_G1_G32
571.8602813036109	-0.38596191449688744	0.5489228129875712	-0.7031260231219912	0.48197721597836624	0.9999572936657434	AACS	C516R_G1_G32
165.69366364495735	0.5105556064232245	0.43024234069006395	1.1866698326444265	0.2353578788531927	0.9999572936657434	AADAT	C516R_G1_G32
1981.0054621899267	0.11811796873953849	0.4618016476870432	0.2557764125163656	0.7981234882813045	0.9999572936657434	AAGAB	C516R_G1_G32
4256.758073862336	0.8730572486743314	1.1711262007302539	0.7454851988879917	0.4559784555804617	0.9999572936657434	AAK1	C516R_G1_G32
10749.221822575655	0.17886364043608496	0.5850325764475297	0.3057327876033701	0.7598081069837472	0.9999572936657434	AAMDC	C516R_G1_G32
7142.790305191919	-0.3295378623793346	0.36081798214494853	-0.9133077581675293	0.3610807031985182	0.9999572936657434	AAMP	C516R_G1_G32
2.0267181845820788	-2.5565422008246794	2.1342050653533655	-1.1978896697077168	0.2309599719065295	0.9999572936657434	AANAT	C516R_G1_G32
1016.3493711806284	-0.314985586510739	0.24605041819754125	-1.2801668406751223	0.20048646516614707	0.9999572936657434	AAR2	C516R_G1_G32
5024.673191309286	-0.3637279873233962	0.4665803727626043	-0.7795612686615532	0.4356491610339814	0.9999572936657434	AARS	C516R_G1_G32
297.8075337945072	0.367075948773147	0.3404290933197376	1.078274319017682	0.2809113541586051	0.9999572936657434	AARS2	C516R_G1_G32
4874.11318341454	0.5785587739020566	0.774618844647006	0.7468947830280399	0.45512707532445396	0.9999572936657434	AARSD1	C516R_G1_G32
375.22808348359297	0.2523433865788418	0.792756116399108	0.31831149751962445	0.7502486637763381	0.9999572936657434	AASDH	C516R_G1_G32
983.6161156142199	-0.11081023506959747	0.4678775330031077	-0.23683598218181906	0.8127840358030296	0.9999572936657434	AASDHPPT	C516R_G1_G32
933.3264973281849	0.5000366615535043	0.5030610498324666	0.993988029325726	0.32022869534923976	0.9999572936657434	AASS	C516R_G1_G32
8449.168421576838	0.1218677009872789	0.7218433671642175	0.1688284557715612	0.8659315751283161	0.9999572936657434	AATF	C516R_G1_G32
181.93967428476788	0.16753398226916394	0.4948023602204286	0.33858767810753676	0.7349203663298309	0.9999572936657434	AATK	C516R_G1_G32
115.98535774801485	0.5915090268185994	0.37371194516416534	1.5827940061128083	0.11346842333327704	0.9999572936657434	ABAT	C516R_G1_G32
15.373965459338217	-0.0032447668354838614	0.9147464485157376	-0.0035471762046726737	0.997169768807057	0.9999572936657434	ABCA1	C516R_G1_G32
24.621963217013718	0.5399974387966925	0.682484324919646	0.7912232106726708	0.42881374927308985	0.9999572936657434	ABCA11P	C516R_G1_G32
1.3378047101610195	-0.5392417985505501	3.43405131423011	-0.1570278802521168	0.8752228754057509	0.9999572936657434	ABCA13	C516R_G1_G32
31.435642611473554	-0.8427137650481368	0.6994995667374347	-1.2047380800801255	0.22830443047403914	0.9999572936657434	ABCA17P	C516R_G1_G32
1884.9198484121337	0.17283406992182057	0.6481745921008921	0.2666474002963047	0.789740656336235	0.9999572936657434	ABCA2	C516R_G1_G32
589.855793547155	-0.48313978714615513	0.34122036284685087	-1.4159172187593083	0.15679974292484714	0.9999572936657434	ABCA3	C516R_G1_G32
91.77355697064597	1.222750889047493	0.7942848747694876	1.539436199641032	0.12369784229349327	0.9999572936657434	ABCA5	C516R_G1_G32
1054.1312323415618	1.3591984376388668	0.8288686696318993	1.6398236384570877	0.10104184172988902	0.9999572936657434	ABCA7	C516R_G1_G32
45.67841946149408	0.2091319408711737	0.8398453745916756	0.24901243395291847	0.8033511634031023	0.9999572936657434	ABCB1	C516R_G1_G32
344.9580487943519	0.10906556923257545	0.7877102120645012	0.13845900124453975	0.8898776697344597	0.9999572936657434	ABCB10	C516R_G1_G32
11.059452901645852	1.0041145290820161	1.1882564433637972	0.8450318402982949	0.3980930618666295	0.9999572936657434	ABCB4	C516R_G1_G32
198.41179290963441	1.6236418776569517	0.8673306383108067	1.8719987579582331	0.06120677534583757	0.9999572936657434	ABCB6	C516R_G1_G32
2350.5465882519807	-0.43943083829617974	0.38031723095894715	-1.1554323667854363	0.2479134139046629	0.9999572936657434	ABCB7	C516R_G1_G32
1086.4770615330046	0.32907156603451804	0.37022150954533173	0.8888504788353604	0.3740834426987069	0.9999572936657434	ABCB8	C516R_G1_G32
129.01442687985818	1.5916781835622063	0.7249603416536826	2.1955382827307255	0.028125007889648373	0.9999572936657434	ABCB9	C516R_G1_G32
413.2193405435863	-0.05137265669195592	0.5096414446608762	-0.10080156790651146	0.9197079821731132	0.9999572936657434	ABCC1	C516R_G1_G32
485.5440182698968	0.0560507697308161	0.49713429897525324	0.11274774210179017	0.9102305498130462	0.9999572936657434	ABCC10	C516R_G1_G32
6.705392490381245	1.7382585236080215	2.080216410865004	0.8356142728848158	0.4033719366224534	0.9999572936657434	ABCC2	C516R_G1_G32
31.825383375785655	1.1196542854048164	1.1684971261718242	0.958200290207795	0.3379617709267468	0.9999572936657434	ABCC3	C516R_G1_G32
